NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1617 Entries & Exits,1516 Entries & Exits,1617 Interchanges,Large station change flag,Small station change flag,Explanation of large change,Source for explanation of large change
7406,CRH,Crouch Hill,London,Islington (London),Islington North,530585,187505,London Overground,,,London Travelcard Area Station,E.04,Gospel Oak - Woodgrange Park,Anglia,,87732,92238,104702,284672,825262,,1,,Gospel Oak to Barking Electrification works since Summer 2016,https://www.networkrail.co.uk/running-the-railway/our-routes/anglia/gospel-oak-barking-electrification/
5325,COH,Crowborough,South East,Wealden,Wealden,553472,129725,Govia Thameslink Railway,,,,B.10,Hurst Green - Uckfield,South East,,49794,72542,212516,334852,388762,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5233,CWU,Crowhurst,South East,Rother,Bexhill and Battle,576028,112879,Southeastern,,,,A.06,Tonbridge - Hastings,South East,,5896,15310,24270,45476,44612,,,,,
5628,CRN,Crowthorne,South East,Bracknell Forest,Bracknell,482294,163735,Great Western Railway,,,,C.09,Guildford - Wokingham,Wessex,,85608,110796,105476,301880,312430,,,,,
5356,CYP,Crystal Palace,London,Bromley (London),Lewisham West and Penge,534120,170550,London Overground,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,840560,1248696,1557434,3646690,3626424,441165.105,,,,
6008,CUF,Cuffley,East,Welwyn Hatfield,Broxbourne,530700,202800,Govia Thameslink Railway,,,,G.03,Hertford Loop,London North East and East Midlands,,169028,173080,393252,735360,747026,,,,,
3107,CUM,Culham,South East,South Oxfordshire,Henley,452915,195276,Great Western Railway,,,,J.07,Didcot - Oxford,Western,,21680,11458,36078,69216,59958,,1,,,
5201,CUX,Cuxton,South East,Medway,Rochester and Strood,571435,166750,Southeastern,,,,A.11,Strood - Paddock Wood,South East,,15016,13434,14062,42512,40808,,,,,
7440,DDK,Dagenham Dock,London,Barking and Dagenham (London),Barking,548975,182980,c2c,,,London Travelcard Area Station,F.02,Tilbury Loop,Anglia,,132284,134260,122660,389204,318086,,1,,Continued increase on inner suburban services after timetable changes in 2014/15,"National Rail Timetable, December 2014"
1429,DLK,Dalston (Kingsland),London,Hackney (London),Hackney North and Stoke Newington,533525,185005,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,,1203628,2672470,2308250,6184348,5931382,,,,,
1443,DLJ,Dalston Junction,London,Hackney (London),Hackney North and Stoke Newington,533570,184780,London Overground,,,London Travelcard Area Station,n/a,East London Line,South East,,1217890,2366280,1712668,5296838,5139640,,,,,
7211,DSM,Darsham,East,Suffolk Coastal,Suffolkastal,640480,269720,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,10542,40250,5088,55880,56262,,,,,
5101,DFD,Dartford,South East,Dartford,Dartford,554314,174378,Southeastern,,,,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,880880,1440050,1587228,3908158,3449536,817920.7814,1,,Extended impact of London Bridge works. Bus services operated from Dartford. ,http://www.thameslinkprogramme.co.uk/key-dates-and-service-changes
5668,DAT,Datchet,South East,Windsor and Maidenhead,Windsor,498740,176970,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,116884,113462,120746,351092,356114,,,,,
5011,DEA,Deal,South East,Dover,Dover,637424,152584,Southeastern,,,,A.12,East Kent Routes,South East,,78214,247390,190888,516492,506568,,,,,
5412,DPD,Deepdene,South East,Mole Valley,Mole Valley,517051,150180,Great Western Railway,DORKING BR,,,C.08,Redhill - Guildford,South East,,93126.22192,159575.1448,146210.3352,398911.7019,419441.3959,199802.5022,,,,
3052,DNM,Denham,South East,South Bucks,Beaconsfield,504214,187733,Chiltern Railways,,,,M.01,Marylebone - Aynho Jcn,London North Western,,69728,76082,161514,307324,315020,,,,,
3060,DGC,Denham Golf Club,South East,South Bucks,Beaconsfield,502800,187900,Chiltern Railways,,,,M.01,Marylebone - Aynho Jcn,London North Western,,7198,5496,15222,27916,21072,,1,,"Closed March - June 2015, usage has recovered since",https://www.chilternrailways.co.uk/denhamgolfclub
5421,DMK,Denmark Hill,London,Southwark (London),Camberwell and Peckham,532810,176090,Govia Thameslink Railway,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,1916862,2223698,3046592,7187152,7000860,465495.5672,,,,
5145,DEP,Deptford,London,Lewisham (London),"Lewisham, Deptford",537160,177390,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,186336,287714,618088,1092138,1312394,,1,,London Bridge works,http://www.thameslinkprogramme.co.uk/key-dates-and-service-changes
7212,DBR,Derby Road,East,Ipswich,Ipswich,618320,243910,Greater Anglia,,,,D.20,Felixstowe - Ipswich,Anglia,,20260,19566,9188,49014,42972,,1,,,
3030,DID,Didcot Parkway,South East,South Oxfordshire,Wantage,452523,190507,Great Western Railway,,,,J.04,Didcot - Border [nr Pilning],Western,,643226,1357880,1553098,3554204,3456680,512650.9105,,,,
7348,DIS,Diss,East,South Norfolk,South Norfolk,612730,279660,Greater Anglia,,,,D.12,Ipswich - Norwich,Anglia,,122102,343936,219288,685326,675036,,,,,
5036,DLH,Doleham,South East,Rother,Hastings and Rye,583550,116480,Govia Thameslink Railway,,,,A.13,Hastings - Ashford,South East,,458,62,4248,4768,6496,,,1,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5357,DKG,Dorking,South East,Mole Valley,Mole Valley,517073,150417,Govia Thameslink Railway,DORKING BR,,,B.08,South Central Sutton Lines,South East,,271147.641,464621.2762,425708.1054,1161477.023,1221251.573,124732.7235,,,,
5297,DKT,Dorking West,South East,Mole Valley,Mole Valley,515987,149869,Great Western Railway,DORKING BR,,,C.08,Redhill - Guildford,South East,,13072.13707,22399.579,20523.55935,55995.27543,58877.03062,744.0847,,,,
5413,DMS,Dormans,South East,Tandridge,East Surrey,539662,141508,Govia Thameslink Railway,,,,B.12,East Grinstead Line,South East,,23120,26160,62150,111430,125176,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5033,DVP,Dover Priory,South East,Dover,Dover,631380,141464,Southeastern,,,,A.12,East Kent Routes,South East,,176180,423312,232506,831998,883394,52409.8696,,,,
6901,DVC,Dovercourt,East,Tendring,Harwich and North Essex,625597,231777,Greater Anglia,,,,D.15,Harwich Branch,Anglia,,23458,55028,94878,173364,173004,,,,,
7055,DOW,Downham Market,East,King's Lynn and West Norfolk,South West Norfolk,560300,303330,Govia Thameslink Railway,,,,D.01,Bethnal Green - Stansted Airport,Anglia,,118688,243470,161688,523846,500442,,,,,
3099,DRG,Drayton Green,London,Ealing (London),Ealing North,515960,181065,Great Western Railway,,,London Travelcard Area Station,J.08,Greenford Lines,Western,,43208,28868,30296,102372,153146,,1,,Greenford branch lines terminating at West Ealing not Paddington,https://web.archive.org/web/20161014155456/https://www.gwr.com/travel-updates/planned-engineering/greenford-line-alterations
6000,DYP,Drayton Park,London,Islington (London),Islington North,531445,185465,Govia Thameslink Railway,,,London Travelcard Area Station,G.02,Moorgate Branch,London North East and East Midlands,,264960,230702,296038,791700,690750,,1,,Continued increase after timetable changes in 2015,https://www.mynewsdesk.com/uk/govia-thameslink-railway/pressreleases/seven-day-a-week-service-to-the-city-better-for-late-returning-commuters-and-weekend-shoppers-1540850
7027,DUL,Dullingham,East,East Cambridgeshire,South East Cambridgeshire,561832,258575,Greater Anglia,,,,D.08,Cambridge - Chippenham Jcn,Anglia,,8664,6640,25072,40376,45812,,1,,,
5034,DMP,Dumpton Park,South East,Thanet,South Thanet,638670,166307,Southeastern,,,,A.12,East Kent Routes,South East,,5284,7988,7684,20956,19714,,,,,
5944,DBG,Dunbridge,South East,Test Valley,Romsey and Southampton North,431855,126160,Great Western Railway,,,,C.16,Redbridge / Eastleigh - Salisbury,Wessex,,7938,13106,8734,29778,29792,,,,,
5102,DNG,Dunton Green,South East,Sevenoaks,Sevenoaks,551454,157500,Southeastern,,,,A.04,Chislehurst - Tonbridge,South East,,26652,41808,160992,229452,225046,,,,,
5282,DUR,Durrington-On-Sea,South East,Worthing,Worthing West,512000,103200,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,108702,211432,221606,541740,665298,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3190,EAL,Ealing Broadway,London,Ealing (London),Ealing Central and Acton,517938,180913,Great Western Railway,,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,,1602222,2378166,2392330,6372718,6581174,37391.4244,,,,
5694,EAR,Earley,South East,Wokingham,Reading East,475300,171900,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,188320,203678,222534,614532,645500,,,,,
5584,EAD,Earlsfield,London,Wandsworth (London),Tooting,526050,173040,South West Trains,,,London Travelcard Area Station,C.01,Waterloo - Woking,Wessex,,1579462,1937000,3680482,7196944,7170386,,,,,
5414,ELD,Earlswood (Surrey),South East,Reigate and Banstead,Reigate,527820,149160,Govia Thameslink Railway,,,,B.02,Windmill Bridge Jcn - Brighton,South East,,64264,69926,276076,410266,468356,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5355,ECR,East Croydon,London,Croydon (London),Croydon Central,532841,165770,Govia Thameslink Railway,CROYDON BR,,London Travelcard Area Station,B.02,Windmill Bridge Jcn - Brighton,South East,,5160440,8081240,9364568,22606248,24261942,6521664.763,,,,
5358,EDW,East Dulwich,London,Southwark (London),Camberwell and Peckham,533440,175360,Govia Thameslink Railway,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,310660,405296,618684,1334640,1709704,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5234,EFL,East Farleigh,South East,Maidstone,Maidstone and The Weald,573484,153607,Southeastern,,,,A.11,Strood - Paddock Wood,South East,,9288,9550,14324,33162,31604,,,,,
5486,EGR,East Grinstead,South East,Mid Sussex,Mid Sussex,538800,138200,Govia Thameslink Railway,,,,B.12,East Grinstead Line,South East,,245498,417300,775084,1437882,1526820,,,,,
5134,EML,East Malling,South East,Tonbridge and Malling,Tonbridge and Malling,570200,156900,Southeastern,,,,A.05,Chislehurst - Ashford,South East,,14692,24502,58128,97322,101838,,,,,
7471,ETL,East Tilbury,East,Thurrock,South Basildon and East Thurrock,567634,178969,c2c,,,,F.02,Tilbury Loop,Anglia,,142750,108808,159800,411358,359536,,1,,Continued increase on inner suburban services after timetable changes in 2014/15,"National Rail Timetable, December 2014"
5283,EWR,East Worthing,South East,Worthing,East Worthing and Shoreham,515975,103745,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,50790,76452,218242,345484,428322,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5448,EBN,Eastbourne,South East,Eastbourne,Eastbourne,560959,99124,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,322792,1607636,1264376,3194804,3754050,6986.9005,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5899,ESL,Eastleigh,South East,Eastleigh,Eastleigh,445732,119071,South West Trains,,,,C.03,Basingstoke - Southampton,Wessex,,432522,604364,637088,1673974,1677878,193493.0269,,,,
5566,EBD,Ebbsfleet International,South East,Dartford,Dartford,561394,174108,Southeastern,,,,n/a,HS1,South East,,481046,816744,548748,1846538,1673686,55334.5302,1,,Continued increase due to improved HS1 services,"National Rail Timetable, December 2015"
7370,ECS,Eccles Road,East,Breckland,South West Norfolk,601820,290030,Greater Anglia,,,,D.09,Ely - Norwich,Anglia,,366,116,812,1294,824,,,1,,
5056,EDN,Eden Park,London,Bromley (London),Beckenham,537420,167520,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,201540,182742,230412,614694,604406,,,,,
5473,EBR,Edenbridge,South East,Sevenoaks,Tonbridge and Malling,544040,147487,Govia Thameslink Railway,EDENBRIDGE BR,,,B.15,Redhill - Tonbridge,South East,,33108.1814,62718.40128,145517.1507,241343.7334,266225.607,48688.3216,,,,
5359,EBT,Edenbridge Town,South East,Sevenoaks,Tonbridge and Malling,544522,146571,Govia Thameslink Railway,EDENBRIDGE BR,,,B.10,Hurst Green - Uckfield,South East,,34755.8186,65839.59872,152758.8493,253354.2666,279474.393,17026.9772,,,,
6941,EDR,Edmonton Green,London,Enfield (London),Edmonton,534310,193570,London Overground,,,London Travelcard Area Station,D.02,Hackney Downs - Cheshunt / Enfield Town,Anglia,,831916,1341220,1486432,3659568,3440938,25848.2033,,,,
5642,EFF,Effingham Junction,South East,Guildford,Mole Valley,510271,155892,South West Trains,,,,C.07,Main Line Suburban Lines,Wessex,,94540,83944,138606,317090,323794,16287.3379,,,,
5669,EGH,Egham,South East,Runnymede,Runnymede and Weybridge,501143,171073,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,699772,795952,579480,2075204,2101150,,,,,
5246,EPH,Elephant & Castle,London,Southwark (London),Bermondsey and Old Southwark,532085,178945,Govia Thameslink Railway,LONDON BR,,London Travelcard Area Station,B.14,Thameslink Routes,South East,,805354,731352,1459858,2996564,3287032,295750.7803,,,,
5049,ELE,Elmers End,London,Bromley (London),Beckenham,535780,168411,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,294030,277490,629314,1200834,1169234,93.0726,,,,
5135,ESD,Elmstead Woods,London,Bromley (London),Bromley and Chislehurst,542250,170660,Southeastern,,,London Travelcard Area Station,A.03,London - Chislehurst,South East,,316724,263880,647224,1227828,1221638,,,,,
7349,ESW,Elmswell,East,Mid Suffolk,Bury St. Edmunds,598970,263980,Greater Anglia,,,,D.07,Peterborough - Stowmarket,Anglia,,25444,24614,21508,71566,71498,,,,,
6832,ESM,Elsenham,East,Uttlesford,Saffron Walden,553321,227014,Greater Anglia,,,,D.05,Stansted - Ely,Anglia,,47620,45070,126852,219542,200088,,,,,
1542,ELS,Elstree & Borehamwood,East,Hertsmere,Hertsmere,519080,196320,Govia Thameslink Railway,,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,,900650,1050170,1296966,3247786,3381930,,,,,
5103,ELW,Eltham,London,Greenwich (London),Eltham,542700,174960,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,664718,765120,957470,2387308,2438418,,,,,
7068,ELY,Ely,East,East Cambridgeshire,South East Cambridgeshire,554350,279440,Greater Anglia,,,,D.06,Ely - Kings Lynn,Anglia,,436608,862552,910190,2209350,2131818,403646.2447,,,,
7473,EMP,Emerson Park,London,Havering (London),Hornchurch and Upminster,553965,187865,London Overground,,,London Travelcard Area Station,D.17,Upminster Branch,Anglia,,117602,66084,93992,277678,259490,,,,,
5257,EMS,Emsworth,South East,Havant,Havant,474825,106325,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,67554,115980,85504,269038,384490,4910.6625,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
6010,ENC,Enfield Chase,London,Enfield (London),"Enfield, Southgate",532180,196666,Govia Thameslink Railway,ENFIELD BR,,London Travelcard Area Station,G.03,Hertford Loop,London North East and East Midlands,,457334,487148,645964,1590446,1472224,9572.1641,,,,
6815,ENL,Enfield Lock,London,Enfield (London),Enfield North,536427,198745,Greater Anglia,,,London Travelcard Area Station,D.01,Bethnal Green - Stansted Airport,Anglia,,384924,497352,514252,1396528,1378226,,,,,
6959,ENF,Enfield Town,London,Enfield (London),"Enfield, Southgate",532970,196550,London Overground,ENFIELD BR,,London Travelcard Area Station,D.02,Hackney Downs - Cheshunt / Enfield Town,Anglia,,587596,872882,761722,2222200,2107082,1283.1572,,,,
5360,EPS,Epsom,South East,Epsom and Ewell,Epsom and Ewell,520700,160900,Govia Thameslink Railway,,,,B.08,South Central Sutton Lines,South East,,1116194,1095974,1847146,4059314,4183184,197917.1603,,,,
5361,EPD,Epsom Downs,South East,Reigate and Banstead,Epsom and Ewell,522806,159759,Govia Thameslink Railway,,,London Travelcard Area Station,B.08,South Central Sutton Lines,South East,,32632,23058,35150,90840,111946,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5459,ERI,Eridge,South East,Wealden,Wealden,554271,134488,Govia Thameslink Railway,,,,B.10,Hurst Green - Uckfield,South East,,20198,23178,74318,117694,125176,,,,,
5104,ERH,Erith,London,Bexley (London),Erith and Thamesmead,551130,178100,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,214590,227698,391360,833648,841828,,,,,
5558,ESH,Esher,South East,Elmbridge,Esher and Walton,514696,165824,South West Trains,,,,C.01,Waterloo - Woking,Wessex,,276530,270254,642012,1188796,1187194,,,,,
6004,EXR,Essex Road,London,Islington (London),Islington South and Finsbury,532120,184140,Govia Thameslink Railway,,,London Travelcard Area Station,G.02,Moorgate Branch,London North East and East Midlands,,266380,244178,299960,810518,715984,,1,,Continued increase after timetable changes in 2015,https://www.mynewsdesk.com/uk/govia-thameslink-railway/pressreleases/seven-day-a-week-service-to-the-city-better-for-late-returning-commuters-and-weekend-shoppers-1540850
5217,ETC,Etchingham,South East,Rother,Bexhill and Battle,571431,126301,Southeastern,,,,A.06,Tonbridge - Hastings,South East,,34936,82522,140486,257944,243936,,,,,
1444,EUS,Euston,London,Camden (London),Holborn and St. Pancras,529545,182675,Network Rail,LONDON BR,,London Travelcard Area Station,N.01,Euston - Rugby,London North Western,,6636656,27898408,9524338,44059402,41677870,3517886.759,,,,
5415,EWE,Ewell East,South East,Epsom and Ewell,Epsom and Ewell,522569,162158,Govia Thameslink Railway,,,London Travelcard Area Station,B.08,South Central Sutton Lines,South East,,185284,168994,206122,560400,616606,,,,,
5586,EWW,Ewell West,South East,Epsom and Ewell,Epsom and Ewell,521480,162660,South West Trains,,,London Travelcard Area Station,C.07,Main Line Suburban Lines,Wessex,,467374,500006,543886,1511266,1447484,,,,,
5065,EYN,Eynsford,South East,Sevenoaks,Sevenoaks,553565,164934,Southeastern,,,,A.05,Chislehurst - Ashford,South East,,37292,47598,97594,182484,174410,,,,,
5137,FCN,Falconwood,London,Bexley (London),Old Bexley and Sidcup,544553,175403,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,332870,340428,472230,1145528,1112154,,,,,
5337,FMR,Falmer,South East,The City of Brighton and Hove,"Brighton, Kemptown",534700,108700,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,303158,687742,186082,1176982,1334100,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5900,FRM,Fareham,South East,Fareham,Fareham,456971,106257,South West Trains,,,,C.11,Cosham - St Denys / Eastleigh,Wessex,,505006,671518,468780,1645304,1787200,158895.343,,,,
5521,FNB,Farnborough (Main),South East,Rushmoor,Aldershot,486850,156010,South West Trains,FARNBOROUGH BR,,,C.02,Woking - Basingstoke,Wessex,,867883.7117,948282.5683,1224158.966,3040325.246,2990294.467,11268.0626,,,,
5688,FNN,Farnborough North,South East,Rushmoor,Aldershot,487725,156630,Great Western Railway,FARNBOROUGH BR,,,C.09,Guildford - Wokingham,Wessex,,187646.2883,205029.4317,264677.0336,657352.7536,646535.5326,3248.5844,,,,
5643,FNC,Farncombe,South East,Waverley,South West Surrey,497600,145140,South West Trains,,,,C.06,Woking - Portsmouth,Wessex,,223260,225018,437006,885284,864546,,,,,
5545,FNH,Farnham,South East,Waverley,South West Surrey,484446,146548,South West Trains,,,,C.17,Brookwood - Alton,Wessex,,444842,490654,685918,1621414,1656962,865.0984,,,,
5105,FNR,Farningham Road,South East,Dartford,Dartford,555595,169330,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,33046,55088,122342,210476,203588,,,,,
577,ZFD,Farringdon,London,Islington (London),Islington South and Finsbury,531560,181840,London Underground,LONDON BR,,London Travelcard Area Station,B.14,Thameslink Routes,London North East and East Midlands,,3627094,2961062,5457404,12045560,12185440,145989.1995,,,,
5167,FAV,Faversham,South East,Swale,Faversham and Mid Kent,601585,160924,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,223518,515136,760412,1499066,1468006,43946.8762,,,,
5493,FGT,Faygate,South East,Horsham,Horsham,521728,134388,Govia Thameslink Railway,,,,B.04,Three Bridges - Arundel Jcn,South East,,1770,958,6300,9028,13222,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
7214,FLX,Felixstowe,East,Suffolk Coastal,Suffolkastal,630250,235146,Greater Anglia,,,,D.20,Felixstowe - Ipswich,Anglia,,58042,113164,27728,198934,193776,,,,,
5559,FEL,Feltham,London,Hounslow (London),Feltham and Heston,510600,173300,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,1265012,1324920,1724772,4314704,4392030,,,,,
7490,FST,Fenchurch Street,London,City and County of the City of London,Cities of London and Westminster,533410,180940,c2c,LONDON BR,,London Travelcard Area Station,F.01,Fenchurch Street - Shoeburyness,Anglia,,5610608,3854458,9061166,18526232,18044598,1086257.677,,,,
1377,FEN,Fenny Stratford,South East,Milton Keynes,Milton Keynes South,488245,234292,London Midland Trains,,,,N.12,Bletchley - Bedford,London North Western,,5080,9620,10274,24974,27416,,,,,
1445,FNY,Finchley Road & Frognal,London,Camden (London),Hampstead and Kilburn,526070,185050,London Overground,,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,,454716,623488,1055586,2133790,2199892,,,,,
6119,FPK,Finsbury Park,London,Islington (London),Islington North,531358,186746,Govia Thameslink Railway,,,London Travelcard Area Station,G.01,Kings Cross - Peterborough,London North East and East Midlands,,1733710,2659802,2639214,7032726,5656786,1325848.972,1,,Continued increase after timetable changes in 2015,https://www.mynewsdesk.com/uk/govia-thameslink-railway/pressreleases/seven-day-a-week-service-to-the-city-better-for-late-returning-commuters-and-weekend-shoppers-1540850
3012,FIN,Finstock,South East,West Oxfordshire,Witney,436647,217265,Great Western Railway,,,,J.11,Cotswolds Line,Western,,908,124,804,1836,1770,,,,,
5261,FSB,Fishbourne,South East,Chichester,Chichester,483530,105060,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,14814,16798,22310,53922,77846,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5284,FSG,Fishersgate,South East,Adur,East Worthing and Shoreham,525483,105366,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,26138,42340,23978,92456,123724,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5522,FLE,Fleet,South East,Hart,North East Hampshire,481626,155260,South West Trains,,,,C.02,Woking - Basingstoke,Wessex,,417848,540402,929948,1888198,1896110,11797.8569,,,,
1532,FLT,Flitwick,East,Central Bedfordshire,Mid Bedfordshire,503390,234980,Govia Thameslink Railway,,,,I.01,St Pancras - Bedford,London North East and East Midlands,,232666,501008,784506,1518180,1479732,,,,,
5035,FKC,Folkestone Central,South East,Shepway,Folkestone and Hythe,622084,136286,Southeastern,FOLKESTONE BR,,,A.12,East Kent Routes,South East,,148548,443966,428522,1021036,994568,12626.2023,,,,
5027,FKW,Folkestone West,South East,Shepway,Folkestone and Hythe,620985,136428,Southeastern,FOLKESTONE BR,,,A.12,East Kent Routes,South East,,74556,250054,228082,552692,550804,7101.738,,,,
5258,FOD,Ford,South East,Arun,Bognor Regis and Littlehampton,500215,104280,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,26266,39546,30170,95982,113918,87851.7357,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
6876,FOG,Forest Gate,London,Newham (London),West Ham,540458,185335,TfL Rail,,,London Travelcard Area Station,D.10,Liverpool Street - Shenfield,Anglia,,612486,1065172,1529362,3207020,3846734,,1,,,
5362,FOH,Forest Hill,London,Lewisham (London),Lewisham West and Penge,535410,172940,London Overground,,,London Travelcard Area Station,B.03,London Bridge - Windmill Bridge Jcn,South East,,1273712,2011236,2137706,5422654,5264368,,,,,
7029,FXN,Foxton,East,South Cambridgeshire,South Cambridgeshire,540885,248760,Govia Thameslink Railway,,,,G.04,Hitchin - Cambridge,Anglia,,22334,33532,37042,92908,88236,,,,,
5218,FRT,Frant,South East,Wealden,Wealden,560739,136362,Southeastern,,,,A.06,Tonbridge - Hastings,South East,,20854,30768,84206,135828,126444,,,,,
5509,FTN,Fratton,South East,City of Portsmouth,Portsmouth South,465360,100050,South West Trains,,,,C.06,Woking - Portsmouth,Wessex,,509994,849694,236006,1595694,1715878,60289.6735,,,,
5683,FML,Frimley,South East,Surrey Heath,Surrey Heath,487430,157717,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,91190,62738,61568,215496,215418,,,,,
6854,FRI,Frinton,East,Tendring,Clacton,623525,220426,Greater Anglia,,,,D.16,Walton and Clacton Branches,Anglia,,30776,89082,88394,208252,203396,,,,,
5587,FLW,Fulwell,London,Richmond upon Thames (London),Twickenham,514830,171840,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,136362,117020,170884,424266,481938,,1,,,
3144,FZP,Furze Platt,South East,Windsor and Maidenhead,Maidenhead,488294,182334,Great Western Railway,,,,J.13,Marlow Branch,Western,,35894,33610,110630,180134,182676,,,,,
1559,GSN,Garston (Hertfordshire),East,Watford,Watford,511965,199890,London Midland Trains,,,,N.10,Watford Junction - St Albans Abbey,London North Western,Abbey line,18474,11020,43176,72670,71984,,,,,
5416,GTW,Gatwick Airport,South East,Crawley,Crawley,528700,141300,Govia Thameslink Railway,,,,B.02,Windmill Bridge Jcn - Brighton,South East,,11252494,6775964,1333200,19361658,18028846,1188100.707,,,,
3051,GER,Gerrards Cross,South East,South Bucks,Beaconsfield,500184,188785,Chiltern Railways,,,,M.01,Marylebone - Aynho Jcn,London North Western,,411102,449780,625528,1486410,1461276,60444.6961,,,,
6877,GDP,Gidea Park,London,Havering (London),Romford,552940,189310,TfL Rail,,,London Travelcard Area Station,D.10,Liverpool Street - Shenfield,Anglia,,864700,821024,1111380,2797104,2860546,11793.2502,,,,
5169,GLM,Gillingham (Kent),South East,Medway,Gillingham and Rainham,577520,168365,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,539866,935122,1256138,2731126,2629244,312958.1051,,,,
5363,GIP,Gipsy Hill,London,Lambeth (London),Dulwich and West Norwood,533321,171235,Govia Thameslink Railway,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,438072,534456,742892,1715420,1968148,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5338,GLY,Glynde,South East,Lewes,Lewes,545790,108670,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,13982,29154,17862,60998,77738,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5629,GOD,Godalming,South East,Waverley,South West Surrey,496622,143946,South West Trains,,,,C.06,Woking - Portsmouth,Wessex,,384894,335788,714366,1435048,1385590,,,,,
5474,GDN,Godstone,South East,Tandridge,East Surrey,536277,148357,Govia Thameslink Railway,,,,B.15,Redhill - Tonbridge,South East,,10672,19878,27796,58346,76942,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
